drugbank_id,name,cas
DB00001,Lepirudin,138068-37-8
DB00002,Cetuximab,205923-56-4
DB00003,Dornase alfa,143831-71-4
DB00004,Denileukin diftitox,173146-27-5
DB00005,Etanercept,185243-69-0
DB00006,Bivalirudin,128270-60-0
DB00007,Leuprolide,53714-56-0
DB00008,Peginterferon alfa-2a,198153-51-4
DB00009,Alteplase,105857-23-6
DB00010,Sermorelin,86168-78-7
DB00011,Interferon alfa-n1,74899-72-2
DB00012,Darbepoetin alfa,209810-58-2
DB00013,Urokinase,9039-53-6
DB00014,Goserelin,65807-02-5
DB00015,Reteplase,133652-38-7
DB00016,Erythropoietin,11096-26-7
DB00017,Salmon calcitonin,47931-85-1
DB00018,Interferon alfa-n3,
DB00019,Pegfilgrastim,208265-92-3
DB00020,Sargramostim,123774-72-1
DB00022,Peginterferon alfa-2b,215647-85-1
DB00023,Asparaginase Escherichia coli,9015-68-3
DB00024,Thyrotropin alfa,194100-83-9
DB00025,"Antihemophilic factor, human recombinant",139076-62-3
DB00026,Anakinra,143090-92-0
DB00027,Gramicidin D,1405-97-6
DB00028,Human immunoglobulin G,308067-58-5
DB00029,Anistreplase,81669-57-0
DB00030,Insulin human,11061-68-0
DB00031,Tenecteplase,191588-94-0
DB00032,Menotropins,9002-68-0
DB00033,Interferon gamma-1b,98059-61-1
DB00034,Interferon alfa-2a,76543-88-9
DB00035,Desmopressin,16679-58-6
DB00036,Coagulation factor VIIa Recombinant Human,102786-61-8
DB00038,Oprelvekin,145941-26-0
DB00039,Palifermin,162394-19-6
DB00040,Glucagon,16941-32-5
DB00041,Aldesleukin,110942-02-4
DB00042,Botulinum toxin type B,93384-44-2
DB00043,Omalizumab,242138-07-4
DB00044,Lutropin alfa,152923-57-4
DB00045,Lyme disease vaccine (recombinant OspA),
DB00046,Insulin lispro,133107-64-9
DB00047,Insulin glargine,160337-95-1
DB00048,Collagenase clostridium histolyticum,9001-12-1
DB00049,Rasburicase,134774-45-1
DB00050,Cetrorelix,120287-85-6
DB00051,Adalimumab,331731-18-1
DB00052,Somatotropin,12629-01-5
DB00053,Imiglucerase,154248-97-2
DB00054,Abciximab,143653-53-6
DB00055,Drotrecogin alfa,98530-76-8
DB00056,Gemtuzumab ozogamicin,220578-59-6
DB00057,Indium In-111 satumomab pendetide,138955-27-8
DB00058,Alpha-1-proteinase inhibitor,9041-92-3
DB00059,Pegaspargase,130167-69-0
DB00060,Interferon beta-1a,145258-61-3
DB00061,Pegademase,130167-68-9
DB00062,Albumin human,9048-46-8
DB00063,Eptifibatide,188627-80-7
DB00065,Infliximab,170277-31-3
DB00066,Follitropin,146479-72-3
DB00067,Vasopressin,11000-17-2
DB00068,Interferon beta-1b,145155-23-3
DB00069,Interferon alfacon-1,118390-30-0
DB00070,Hyaluronidase (ovine),488712-31-8
DB00071,Insulin pork,12584-58-6
DB00072,Trastuzumab,180288-69-1
DB00073,Rituximab,174722-31-7
DB00074,Basiliximab,179045-86-4
DB00075,Muromonab,140608-64-6
DB00076,Digoxin Immune Fab (Ovine),
DB00078,Ibritumomab tiuxetan,206181-63-7
DB00080,Daptomycin,103060-53-3
DB00081,Tositumomab,208921-02-2
DB00082,Pegvisomant,218620-50-9
DB00083,Botulinum toxin type A,93384-43-1
DB00085,Pancrelipase,53608-75-6
DB00086,Streptokinase,9002-01-1
DB00087,Alemtuzumab,216503-57-0
DB00088,Alglucerase,143003-46-7
DB00089,Capromab pendetide,145464-28-4
DB00090,Laronidase,210589-09-6
DB00091,Cyclosporine,59865-13-3
DB00092,Alefacept,222535-22-0
DB00093,Felypressin,56-59-7
DB00094,Urofollitropin,97048-13-0
DB00095,Efalizumab,214745-43-4
DB00097,Choriogonadotropin alfa,177073-44-8
DB00098,Antithymocyte immunoglobulin (rabbit),308067-60-9
DB00099,Filgrastim,121181-53-1
DB00100,Coagulation Factor IX (Recombinant),181054-95-5
DB00102,Becaplermin,165101-51-9
DB00103,Agalsidase beta,
DB00104,Octreotide,83150-76-9
DB00105,Interferon alfa-2b,98530-12-2
DB00106,Abarelix,183552-38-7
DB00107,Oxytocin,50-56-6
DB00108,Natalizumab,189261-10-7
DB00109,Enfuvirtide,159519-65-0
DB00110,Palivizumab,188039-54-5
DB00111,Daclizumab,152923-56-3
DB00112,Bevacizumab,216974-75-3
DB00113,Technetium Tc-99m arcitumomab,154361-49-6
DB00114,Pyridoxal phosphate,54-47-7
DB00115,Cyanocobalamin,68-19-9
DB00116,Tetrahydrofolic acid,135-16-0
DB00117,Histidine,71-00-1
DB00118,Ademetionine,29908-03-0
DB00119,Pyruvic acid,127-17-3
DB00120,Phenylalanine,63-91-2
DB00121,Biotin,58-85-5
DB00122,Choline,62-49-7
DB00123,Lysine,56-87-1
DB00125,Arginine,74-79-3
DB00126,Ascorbic acid,50-81-7
DB00127,Spermine,71-44-3
DB00128,Aspartic acid,56-84-8
DB00129,Ornithine,70-26-8
DB00130,L-Glutamine,56-85-9
DB00131,Adenosine phosphate,61-19-8
DB00132,alpha-Linolenic acid,463-40-1
DB00133,Serine,56-45-1
DB00134,Methionine,63-68-3
DB00135,Tyrosine,60-18-4
DB00136,Calcitriol,32222-06-3
DB00137,Lutein,127-40-2
DB00138,Cystine,56-89-3
DB00139,Succinic acid,110-15-6
DB00140,Riboflavin,83-88-5
DB00141,N-Acetylglucosamine,7512-17-6
DB00142,Glutamic acid,56-86-0
DB00143,Glutathione,70-18-8
DB00144,Phosphatidyl serine,1446756-47-3
DB00145,Glycine,56-40-6
DB00146,Calcifediol,19356-17-3
DB00147,Pyridoxal,66-72-8
DB00148,Creatine,57-00-1
DB00149,Leucine,61-90-5
DB00150,Tryptophan,73-22-3
DB00151,Cysteine,52-90-4
DB00152,Thiamine,70-16-6
DB00153,Ergocalciferol,50-14-6
DB00154,Dihomo-gamma-linolenic acid,1783-84-2
DB00155,Citrulline,372-75-8
DB00156,Threonine,72-19-5
DB00157,NADH,58-68-4
DB00158,Folic acid,59-30-3
DB00159,Icosapent,10417-94-4
DB00160,Alanine,56-41-7
DB00161,Valine,72-18-4
DB00162,Vitamin A,68-26-8
DB00163,Vitamin E,59-02-9
DB00165,Pyridoxine,65-23-6
DB00166,Lipoic acid,1200-22-2
DB00167,Isoleucine,73-32-5
DB00168,Aspartame,22839-47-0
DB00169,Cholecalciferol,67-97-0
DB00170,Menadione,58-27-5
DB00171,ATP,56-65-5
DB00172,Proline,147-85-3
DB00173,Adenine,73-24-5
DB00174,Asparagine,70-47-3
